Year,Temp_Anomaly,Land_Anomaly,Ocean_Anomaly,Carbon_Emissions
1809,,,,10.0
1810,,,,10.0
1811,,,,11.0
1812,,,,11.0
1813,,,,11.0
1814,,,,11.0
1815,,,,12.0
1816,,,,13.0
1817,,,,14.0
1818,,,,14.0
1819,,,,14.0
1820,,,,14.0
1821,,,,14.0
1822,,,,15.0
1823,,,,16.0
1824,,,,16.0
1825,,,,17.0
1826,,,,17.0
1827,,,,18.0
1828,,,,18.0
1829,,,,18.0
1830,,,,24.0
1831,,,,23.0
1832,,,,23.0
1833,,,,24.0
1834,,,,24.0
1835,,,,25.0
1836,,,,29.0
1837,,,,29.0
1838,,,,30.0
1839,,,,31.0
1840,,,,33.0
1841,,,,34.0
1842,,,,36.0
1843,,,,37.0
1844,,,,39.0
1845,,,,43.0
1846,,,,43.0
1847,,,,46.0
1848,,,,47.0
1849,,,,50.0
1850,,,,54.0
1851,,,,54.0
1852,,,,57.0
1853,,,,59.0
1854,,,,69.0
1855,,,,71.0
1856,,,,76.0
1857,,,,77.0
1858,,,,78.0
1859,,,,83.0
1860,,,,91.0
1861,,,,95.0
1862,,,,97.0
1863,,,,104.0
1864,,,,112.0
1865,,,,119.0
1866,,,,122.0
1867,,,,130.0
1868,,,,135.0
1869,,,,142.0
1870,,,,147.0
1871,,,,156.0
1872,,,,173.0
1873,,,,184.0
1874,,,,174.0
1875,,,,188.0
1876,,,,191.0
1877,,,,194.0
1878,,,,196.0
1879,,,,210.0
