state,startdate,enddate,pollster,grade,samplesize,population,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin
North Carolina,2016-10-31,2016-11-01,Public Policy Polling,B+,1169.0,lv,49.0,47.0,,,47.90348,45.94813,,
Wisconsin,2016-11-01,2016-11-02,Remington,,2720.0,lv,49.0,41.0,,,48.227129999999995,38.86464,,
Pennsylvania,2016-11-01,2016-11-02,Remington,,2683.0,lv,46.0,45.0,,,45.30896,42.94988,,
Virginia,2016-11-01,2016-11-06,Christopher Newport University,B-,1193.0,lv,48.0,42.0,3.0,,48.933209999999995,43.6221,1.996604,
North Carolina,2016-11-01,2016-11-02,Remington,,2596.0,lv,45.0,48.0,,,44.39882,46.0411,,
Ohio,2016-11-01,2016-11-02,Remington,,2557.0,lv,44.0,45.0,,,43.03321,42.67245,,
Georgia,2016-11-03,2016-11-05,YouGov,B,995.0,lv,43.0,49.0,4.0,,43.807990000000004,48.99024,5.169494,
Missouri,2016-10-31,2016-11-01,Public Policy Polling,B+,1083.0,lv,37.0,50.0,4.0,,36.55124,49.59908,5.028656,
New Hampshire,2016-11-04,2016-11-05,Emerson College,B,1000.0,lv,45.4,43.8,4.5,,45.37532,41.71392,4.769466,
Arizona,2016-11-03,2016-11-06,Gravis Marketing,B-,1453.0,rv,43.0,45.0,3.0,,42.84287,44.33273,3.7260980000000004,
U.S.,2016-10-31,2016-11-06,CVOTER International,C+,1625.0,lv,48.91,46.13,,,47.01806,42.045609999999996,,
Florida,2016-11-01,2016-11-02,Remington,,2352.0,lv,45.0,48.0,,,44.85722,46.49677,,
Pennsylvania,2016-10-31,2016-11-01,Public Policy Polling,B+,1050.0,lv,48.0,44.0,,,46.814040000000006,42.86101,,
U.S.,2016-11-04,2016-11-05,Morning Consult,,1482.0,lv,45.0,42.0,8.0,,46.2831,43.27167,6.904304,
Pennsylvania,2016-11-03,2016-11-05,YouGov,B,931.0,lv,45.0,43.0,4.0,,45.82043,42.99602,5.169494,
Nevada,2016-11-03,2016-11-06,Gravis Marketing,B-,1158.0,lv,45.0,43.0,4.0,,43.52706,40.25877,5.4146730000000005,
Colorado,2016-11-03,2016-11-06,Gravis Marketing,B-,1378.0,rv,44.0,43.0,5.0,,43.84619,42.3342,5.726098,
Florida,2016-11-02,2016-11-04,YouGov,B,1188.0,rv,45.0,45.0,,,47.07455,46.994679999999995,,
U.S.,2016-10-31,2016-11-06,SurveyMonkey,C-,70194.0,lv,47.0,41.0,6.0,,45.65592,40.37888,3.677361,
Wisconsin,2016-11-01,2016-11-02,Clarity Campaign Labs,B,1129.0,lv,47.0,43.0,4.0,,47.83631,42.948440000000005,4.024297,
Ohio,2016-11-04,2016-11-05,Emerson College,B,900.0,lv,38.9,45.6,6.8,,38.85865,43.50651,7.069466,
New Hampshire,2016-11-03,2016-11-06,University of New Hampshire,B+,692.0,lv,49.0,38.0,6.0,,48.71549,39.2107,6.4446639999999995,
Pennsylvania,2016-11-01,2016-11-04,Clarity Campaign Labs,B,1033.0,lv,47.0,43.0,4.0,,47.775240000000004,42.83232,4.096483999999999,
U.S.,2016-10-20,2016-10-25,Pew Research Center,B+,2120.0,rv,46.0,40.0,6.0,,45.823859999999996,42.70839,3.531025,
Florida,2016-10-20,2016-10-24,SurveyUSA,A,1251.0,lv,48.0,45.0,2.0,,46.74555,45.86589,1.52073,
California,2016-10-25,2016-10-31,YouGov,B,1498.0,lv,53.0,33.0,4.0,,53.93975,34.06845,4.511946,
U.S.,2016-11-02,2016-11-06,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,45.0,43.0,4.0,,45.56041,43.13745,4.418501999999999,
Colorado,2016-11-01,2016-11-02,Remington,,1863.0,lv,42.0,41.0,,,40.24119,37.877829999999996,,
New York,2016-11-03,2016-11-04,Siena College,A,617.0,lv,51.0,34.0,5.0,,51.30942,35.12664,4.344325,
Nevada,2016-11-01,2016-11-02,Remington,,1793.0,lv,45.0,46.0,,,43.87231,43.511390000000006,,
Pennsylvania,2016-11-03,2016-11-06,Gravis Marketing,B-,1220.0,rv,46.0,40.0,7.0,,45.83721,39.33021,7.7260979999999995,
Arizona,2016-10-30,2016-11-01,Marist College,A,719.0,lv,40.0,45.0,9.0,,38.85863,45.72376,7.5873539999999995,
Missouri,2016-11-01,2016-11-02,Clarity Campaign Labs,B,1036.0,lv,38.0,54.0,,,37.656929999999996,52.77196,,
Wisconsin,2016-11-03,2016-11-06,Gravis Marketing,B-,1184.0,rv,47.0,44.0,3.0,,46.844359999999995,43.33339,3.7260980000000004,
Washington,2016-10-31,2016-11-02,SurveyUSA,A,681.0,lv,50.0,38.0,4.0,,48.87802,36.95385,4.691579,
Virginia,2016-11-01,2016-11-04,Gravis Marketing,B-,1362.0,rv,47.0,42.0,4.0,,46.97759,41.41807,4.720103,
Wisconsin,2016-10-31,2016-11-01,Public Policy Polling,B+,891.0,lv,48.0,41.0,,,46.73323,39.78602,,
California,2016-10-22,2016-10-30,Greenberg Quinlan Rosner/American Viewpoint,B+,1382.0,lv,54.0,30.0,4.0,,54.286590000000004,31.63001,3.403508,
Georgia,2016-10-30,2016-11-01,Marist College,A,707.0,lv,44.0,45.0,8.0,,42.818709999999996,45.65459,6.5873539999999995,
California,2016-10-28,2016-10-31,SurveyUSA,A,747.0,lv,56.0,35.0,4.0,,54.864509999999996,34.27885,4.457466999999999,
Florida,2016-11-01,2016-11-07,SurveyMonkey,C-,4092.0,lv,47.0,45.0,4.0,,45.5919,44.32744,1.6924299999999999,
Texas,2016-10-30,2016-11-01,Marist College,A,679.0,lv,40.0,49.0,6.0,,38.84342,49.69741,4.587354,
Missouri,2016-10-31,2016-11-01,Remington,,1722.0,lv,39.0,52.0,4.0,,39.02343,50.77483,5.124639,
Arizona,2016-10-29,2016-10-31,Saguaro Strategies,,2229.0,lv,45.0,44.0,7.0,,43.5845,44.02861,6.357814,
Utah,2016-11-03,2016-11-05,YouGov,B,762.0,lv,23.0,40.0,7.0,24.0,23.83396,40.0023,8.169495,24.0
Colorado,2016-11-03,2016-11-04,Public Policy Polling,B+,704.0,lv,48.0,43.0,4.0,,47.454029999999996,42.33493,5.207659,
Virginia,2016-11-02,2016-11-06,Hampton University,B,802.0,lv,45.0,41.0,,,46.01075,40.15596,,
Utah,2016-10-31,2016-11-02,Emerson College,B,1000.0,lv,19.6,39.8,3.0,27.6,19.75684,38.0144,3.0755630000000003,27.701420000000002
North Carolina,2016-11-01,2016-11-07,SurveyMonkey,C-,3126.0,lv,48.0,41.0,7.0,,46.580870000000004,40.32232,4.69243,
Texas,2016-11-01,2016-11-07,SurveyMonkey,C-,3009.0,lv,43.0,46.0,6.0,,41.58838,45.3258,3.6924300000000003,
Michigan,2016-11-01,2016-11-07,SurveyMonkey,C-,3145.0,lv,44.0,42.0,8.0,,42.5951,41.328920000000004,5.69243,
North Carolina,2016-11-01,2016-11-04,Gravis Marketing,B-,1250.0,rv,46.0,45.0,3.0,,45.96828,44.41288,3.720103,
Missouri,2016-11-04,2016-11-05,Emerson College,B,750.0,lv,40.5,46.5,6.6,,40.45619,44.40542,6.869466,
U.S.,2016-11-04,2016-11-07,Insights West,,940.0,lv,49.0,45.0,4.0,,49.14547,45.12675,4.253578,
Ohio,2016-11-01,2016-11-07,SurveyMonkey,C-,2860.0,lv,42.0,45.0,7.0,,40.59315,44.32802,4.69243,
Pennsylvania,2016-11-01,2016-11-07,SurveyMonkey,C-,2845.0,lv,46.0,43.0,6.0,,44.58637,42.324870000000004,3.6924300000000003,
Pennsylvania,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,799.0,lv,48.0,44.0,4.0,,47.34301,42.21297,3.469063,
Colorado,2016-11-01,2016-11-07,SurveyMonkey,C-,2777.0,lv,43.0,40.0,10.0,,41.60367,39.3329,7.69243,
New Mexico,2016-11-01,2016-11-02,Gravis Marketing,B-,1327.0,rv,45.0,37.0,11.0,,45.036429999999996,36.53281,11.64792,
California,2016-11-01,2016-11-07,SurveyMonkey,C-,2712.0,lv,56.0,31.0,6.0,,54.59576,30.32923,3.6924300000000003,
Nevada,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,790.0,lv,43.0,49.0,5.0,,42.3558,47.24366,4.469062999999999,
Arizona,2016-11-01,2016-11-07,SurveyMonkey,C-,2609.0,lv,45.0,42.0,7.0,,43.59727,41.32993,4.69243,
Georgia,2016-11-06,2016-11-06,Trafalgar Group,C,1250.0,lv,45.11,51.58,1.89,,44.73904,48.6823,2.955849,
Arizona,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,769.0,lv,44.0,49.0,5.0,,43.36176,47.25795,4.469062999999999,
New Hampshire,2016-10-31,2016-11-01,Public Policy Polling,B+,781.0,lv,48.0,43.0,,,45.84364,40.90704,,
Georgia,2016-11-01,2016-11-07,SurveyMonkey,C-,2419.0,lv,45.0,45.0,7.0,,43.57392,44.31909,4.69243,
Michigan,2016-11-06,2016-11-06,Trafalgar Group,C,1200.0,lv,46.82,48.52,2.89,,46.449040000000004,45.6223,3.9558489999999997,
Florida,2016-10-27,2016-11-01,CNN/Opinion Research Corp.,A-,773.0,lv,49.0,47.0,3.0,,48.35252,45.23579,2.4690630000000002,
U.S.,2016-10-20,2016-11-01,RAND (American Life Panel),B-,2269.0,lv,43.7,34.6,7.7,,43.136759999999995,38.24491,5.9578,
Utah,2016-10-30,2016-10-31,Gravis Marketing,B-,1424.0,rv,29.0,35.0,3.0,24.0,29.04086,34.78405,3.422875,24.13522
Wisconsin,2016-11-01,2016-11-07,SurveyMonkey,C-,2246.0,lv,44.0,42.0,7.0,,42.60015,41.33127,4.69243,
Virginia,2016-11-01,2016-11-07,SurveyMonkey,C-,2183.0,lv,49.0,41.0,7.0,,47.58769,40.32549,4.69243,
Florida,2016-11-01,2016-11-02,Gravis Marketing,B-,1220.0,rv,46.0,45.0,4.0,,46.02363,44.52199,4.647916,
New York,2016-11-01,2016-11-07,SurveyMonkey,C-,2208.0,lv,57.0,32.0,5.0,,55.59548,31.3291,2.69243,
North Carolina,2016-10-28,2016-10-31,SurveyUSA,A,659.0,lv,44.0,51.0,,,42.121590000000005,49.50006,,
Michigan,2016-11-01,2016-11-04,Gravis Marketing,B-,1079.0,rv,46.0,41.0,3.0,,45.98772,40.42371,3.720103,
Florida,2016-11-06,2016-11-06,Trafalgar Group,C,1100.0,lv,46.13,49.72,2.43,,45.75904,46.8223,3.4958489999999998,
North Carolina,2016-10-25,2016-10-26,Marist College,A,780.0,lv,47.0,41.0,8.0,,45.80774,42.65965,5.9805209999999995,
Florida,2016-10-25,2016-10-27,Siena College,A,815.0,lv,42.0,46.0,4.0,,42.40145,48.600840000000005,2.45716,
Utah,2016-11-03,2016-11-05,Trafalgar Group,C,1350.0,lv,29.52,39.95,3.89,24.52,29.326240000000002,37.13456,5.055889,24.52
Florida,2016-10-25,2016-10-26,Marist College,A,779.0,lv,45.0,44.0,5.0,,43.825,45.760979999999996,2.980521,
Illinois,2016-11-01,2016-11-07,SurveyMonkey,C-,1823.0,lv,52.0,35.0,6.0,,50.591409999999996,34.32721,3.6924300000000003,
Iowa,2016-11-01,2016-11-02,RABA Research,C+,1076.0,lv,41.0,44.0,5.0,,41.770920000000004,45.07573,5.054302,
Pennsylvania,2016-11-03,2016-11-05,Trafalgar Group,C,1300.0,lv,46.51,48.43,2.3,,46.30272,45.60828,3.4658889999999998,
Iowa,2016-11-01,2016-11-07,SurveyMonkey,C-,1781.0,lv,38.0,47.0,9.0,,36.60362,46.332879999999996,6.69243,
Indiana,2016-11-01,2016-11-07,SurveyMonkey,C-,1700.0,lv,35.0,52.0,10.0,,33.58643,51.3249,7.69243,
South Carolina,2016-11-01,2016-11-07,SurveyMonkey,C-,1698.0,lv,43.0,47.0,6.0,,41.574529999999996,46.319379999999995,3.6924300000000003,
Florida,2016-10-21,2016-10-24,Selzer & Company,A+,805.0,lv,43.0,45.0,4.0,,43.30724,46.684259999999995,2.8618919999999997,
U.S.,2016-10-20,2016-10-24,GfK Group,B+,1212.0,lv,51.0,37.0,6.0,,50.28058,39.98632,4.733276999999999,
Nevada,2016-10-31,2016-11-01,Public Policy Polling,B+,688.0,lv,48.0,45.0,,,46.37794,43.42805,,
Michigan,2016-11-01,2016-11-03,EPIC-MRA,A-,600.0,lv,42.0,38.0,5.0,,43.47472,39.26165,4.472379,
Oregon,2016-11-01,2016-11-07,SurveyMonkey,C-,1595.0,lv,50.0,35.0,7.0,,48.6059,34.333940000000005,4.69243,
Pennsylvania,2016-10-23,2016-10-25,Siena College,A,824.0,lv,46.0,39.0,6.0,,46.3271,41.95797,4.263721,
Nevada,2016-11-04,2016-11-05,Emerson College,B,600.0,lv,46.8,45.6,3.9,,46.75898,43.50666,4.169466000000001,
Missouri,2016-10-27,2016-10-28,BK Strategies,,1698.0,lv,39.0,53.0,,,38.35085,51.20917,,
Utah,2016-11-01,2016-11-07,SurveyMonkey,C-,1479.0,lv,31.0,34.0,7.0,25.0,29.599890000000002,33.33115,4.69243,25.0
New Hampshire,2016-11-01,2016-11-02,Gravis Marketing,B-,1001.0,rv,41.0,43.0,7.0,,41.07718,42.56727,7.647916,
California,2016-10-14,2016-10-23,Public Policy Institute of California,A,1024.0,lv,54.0,28.0,5.0,,56.30498000000001,29.532120000000003,3.008714,
Ohio,2016-10-27,2016-11-05,Columbus Dispatch,C+,1151.0,lv,48.0,47.0,,,46.07078,45.69285,,
Tennessee,2016-11-01,2016-11-07,SurveyMonkey,C-,1433.0,lv,41.0,49.0,5.0,,39.5886,48.32591,2.69243,
Washington,2016-11-01,2016-11-07,SurveyMonkey,C-,1451.0,lv,51.0,33.0,8.0,,49.60812,32.334959999999995,5.69243,
Colorado,2016-10-26,2016-10-28,YouGov,B,997.0,lv,42.0,39.0,7.0,,42.94938,40.34512,7.397894,
Arizona,2016-10-26,2016-10-28,YouGov,B,994.0,lv,42.0,44.0,4.0,,42.939029999999995,45.29469,4.397894,
Iowa,2016-11-01,2016-11-03,Emerson College,B,700.0,lv,41.0,44.0,5.0,,41.160340000000005,42.11262,5.191284,
North Carolina,2016-10-26,2016-10-28,YouGov,B,992.0,lv,48.0,45.0,3.0,,48.91251,46.16556,3.3978940000000004,
Connecticut,2016-11-01,2016-11-07,SurveyMonkey,C-,1387.0,lv,52.0,36.0,7.0,,50.60727,35.33457,4.69243,
Massachusetts,2016-11-01,2016-11-07,SurveyMonkey,C-,1378.0,lv,56.0,30.0,6.0,,54.628190000000004,29.344279999999998,3.6924300000000003,
New Jersey,2016-11-01,2016-11-07,SurveyMonkey,C-,1377.0,lv,52.0,37.0,4.0,,50.5984,36.330459999999995,1.6924299999999999,
Colorado,2016-11-02,2016-11-03,"Keating Research, Inc.",B,605.0,lv,43.0,38.0,7.0,,42.73429,39.28642,6.995907000000001,
Missouri,2016-11-01,2016-11-07,SurveyMonkey,C-,1368.0,lv,40.0,48.0,8.0,,38.588429999999995,47.325829999999996,5.69243,
Kansas,2016-10-26,2016-10-30,SurveyUSA,A,624.0,lv,38.0,49.0,7.0,,36.85588,48.73752,7.2130339999999995,
Kentucky,2016-11-01,2016-11-07,SurveyMonkey,C-,1315.0,lv,35.0,54.0,6.0,,33.589420000000004,53.32629,3.6924300000000003,
Kansas,2016-11-01,2016-11-07,SurveyMonkey,C-,1311.0,lv,36.0,49.0,9.0,,34.59949,48.33097,6.69243,
U.S.,2016-11-01,2016-11-03,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1107.0,lv,45.5,44.0,5.0,,46.70731,44.148559999999996,4.979693,
Minnesota,2016-11-01,2016-11-07,SurveyMonkey,C-,1292.0,lv,46.0,39.0,10.0,,44.60134,38.33182,7.69243,
Florida,2016-11-05,2016-11-06,Opinion Savvy/InsiderAdvantage,C-,843.0,lv,48.4,46.4,3.0,,47.37976,45.686370000000004,2.721857,
Oklahoma,2016-11-01,2016-11-07,SurveyMonkey,C-,1271.0,lv,32.0,57.0,10.0,,30.586009999999998,56.324709999999996,7.69243,
New Mexico,2016-11-01,2016-11-03,"Research & Polling, Inc.",A,504.0,lv,45.0,40.0,11.0,,46.39454,40.545759999999994,9.490648,
Nevada,2016-11-01,2016-11-04,Trafalgar Group,C,1100.0,lv,45.01,49.61,2.58,,44.87275,46.84256,3.7308199999999996,
Texas,2016-10-31,2016-11-02,Emerson College,B,700.0,lv,34.5,49.2,4.9,,34.64824,47.415240000000004,4.999537,
Pennsylvania,2016-10-27,2016-11-01,Quinnipiac University,A-,612.0,lv,48.0,43.0,3.0,,48.63686,42.57669,2.694269,
Maryland,2016-11-01,2016-11-07,SurveyMonkey,C-,1216.0,lv,59.0,28.0,6.0,,57.587019999999995,27.32517,3.6924300000000003,
Nevada,2016-11-01,2016-11-07,SurveyMonkey,C-,1207.0,lv,45.0,43.0,9.0,,43.5938,42.32832,6.69243,
New Hampshire,2016-10-28,2016-11-02,University of Massachusetts Lowell,B,695.0,lv,44.0,44.0,5.0,,44.63114,44.221070000000005,5.006831,
Arizona,2016-10-28,2016-11-01,The Times-Picayune/Lucid,,1113.0,lv,41.0,42.0,8.0,,41.43996,44.985659999999996,6.36684,
Ohio,2016-10-31,2016-11-03,TargetSmart/William & Mary,,844.0,lv,40.0,43.0,8.0,,40.306059999999995,44.64392,7.724583999999999,
Colorado,2016-10-31,2016-11-03,Trafalgar Group,C,1150.0,lv,44.77,44.33,5.04,,44.68932,41.67779,6.118633,
Indiana,2016-11-01,2016-11-03,Public Opinion Strategies,B,600.0,lv,37.0,48.0,9.0,,37.371320000000004,49.48534,8.209533,
Alabama,2016-11-01,2016-11-07,SurveyMonkey,C-,1131.0,lv,36.0,55.0,6.0,,34.57085,54.31766999999999,3.6924300000000003,
Ohio,2016-10-27,2016-11-01,Quinnipiac University,A-,589.0,lv,41.0,46.0,5.0,,41.64853,45.604690000000005,4.6942699999999995,
Virginia,2016-10-28,2016-10-30,Emerson College,B,800.0,lv,49.0,45.0,3.0,,49.1487,43.76307,2.731334,
Pennsylvania,2016-10-31,2016-11-01,"Susquehanna Polling & Research, Inc.",B-,681.0,lv,45.0,43.0,2.0,,45.6835,43.54456,2.542289,
Colorado,2016-10-28,2016-10-31,Emerson College,B,750.0,lv,44.0,41.0,8.0,,44.181470000000004,39.614340000000006,7.865425999999999,
New Hampshire,2016-10-20,2016-10-24,Marist College,A,768.0,lv,45.0,36.0,10.0,,43.7742,38.96218,7.517833,
New Jersey,2016-10-27,2016-11-02,Stockton College,B,678.0,lv,51.0,40.0,3.0,,50.7404,39.86985,2.6707240000000003,
Nebraska,2016-11-01,2016-11-07,SurveyMonkey,C-,988.0,lv,35.0,52.0,7.0,,33.597559999999994,51.33007,4.69243,
Louisiana,2016-11-01,2016-11-07,SurveyMonkey,C-,982.0,lv,38.0,52.0,4.0,,36.574740000000006,51.31947,1.6924299999999999,
Maine,2016-10-28,2016-10-30,Emerson College,B,750.0,lv,46.0,42.0,5.0,,46.200379999999996,40.92931,4.7313339999999995,
Iowa,2016-10-20,2016-10-26,Quinnipiac University,A-,791.0,lv,44.0,44.0,4.0,,44.54643,45.2029,2.891494,
Colorado,2016-10-28,2016-11-01,The Times-Picayune/Lucid,,972.0,lv,44.0,37.0,9.0,,44.45097,40.01209,7.36684,
Virginia,2016-10-23,2016-10-30,Winthrop University,,712.0,lv,44.0,39.0,5.0,,44.85999,41.12677,4.527971,
Pennsylvania,2016-10-26,2016-10-30,Franklin & Marshall College,B+,652.0,lv,49.0,38.0,4.0,,48.71268,40.4375,3.7182699999999995,
Arizona,2016-10-28,2016-10-31,Emerson College,B,700.0,lv,43.0,47.0,2.0,,43.17046,45.58791,1.8654259999999998,
Minnesota,2016-10-22,2016-10-26,SurveyUSA,A,656.0,lv,49.0,39.0,5.0,,47.77468,39.65068,4.789979,
Arkansas,2016-11-01,2016-11-07,SurveyMonkey,C-,930.0,lv,32.0,56.0,6.0,,30.588759999999997,55.32598,3.6924300000000003,
Texas,2016-10-27,2016-10-29,Dixie Strategies,C+,980.0,lv,39.39,51.53,2.96,,40.29257,51.67585,3.052178,
Alaska,2016-11-03,2016-11-06,Gravis Marketing,B-,617.0,rv,41.0,44.0,3.0,,40.84795,43.33498,3.7260980000000004,
Virginia,2016-10-20,2016-10-26,Quinnipiac University,A-,749.0,lv,50.0,38.0,4.0,,50.5296,39.000209999999996,2.891494,
Nevada,2016-10-28,2016-11-01,The Times-Picayune/Lucid,,892.0,lv,45.0,38.0,7.0,,45.434,40.97136,5.36684,
Nevada,2016-10-20,2016-10-24,Marist College,A,707.0,lv,43.0,43.0,10.0,,41.74095,45.53403,7.517833,
Texas,2016-10-21,2016-10-22,YouGov,B,1031.0,lv,43.0,46.0,5.0,,43.831790000000005,48.17364,4.819643,
Florida,2016-10-20,2016-10-25,University of North Florida,B+,819.0,lv,43.0,39.0,6.0,,44.44585,42.81216,4.444717,
Arizona,2016-11-04,2016-11-06,Data Orbital,,550.0,lv,44.0,47.0,4.0,,44.59101,46.81411,4.462495,
Kentucky,2016-10-26,2016-10-28,Cygnal Political,,811.0,lv,32.0,56.0,,,32.03058,55.3284,,
U.S.,2016-10-20,2016-10-24,Suffolk University,B+,1000.0,lv,47.4,37.6,3.9,,47.48859,39.92883,4.058555,
Florida,2016-10-25,2016-10-26,Public Policy Polling,B+,742.0,lv,48.0,44.0,,,47.06064,44.3281,,
New Hampshire,2016-10-29,2016-11-01,MassINC Polling Group,A-,500.0,lv,39.0,40.0,10.0,,39.39812,40.77245,9.115731,
Utah,2016-10-30,2016-11-02,Monmouth University,A+,402.0,lv,31.0,37.0,4.0,24.0,30.06568,36.70382,4.644697,24.10142
Georgia,2016-10-28,2016-10-31,Emerson College,B,650.0,lv,42.0,51.0,2.0,,42.13029,49.49152,1.8654259999999998,
North Carolina,2016-10-27,2016-11-01,Trafalgar Group,C,1150.0,lv,44.16,49.13,3.59,,44.06113,46.8853,4.3427739999999995,
Pennsylvania,2016-10-30,2016-11-04,Muhlenberg College,A,405.0,lv,44.0,40.0,7.0,,45.37725,41.55843,5.609583,
U.S.,2016-10-17,2016-10-18,Quinnipiac University,A-,1007.0,lv,47.0,40.0,7.0,,47.595040000000004,41.77778,5.309141,
Georgia,2016-10-25,2016-10-27,SurveyUSA,A,683.0,rv,42.0,49.0,3.0,,42.117490000000004,51.026759999999996,2.294843,
Vermont,2016-10-24,2016-10-26,"Political Marketing International, Inc./Red Racing Horses",B-,1052.0,lv,52.0,26.0,5.0,,51.28784,27.41402,4.467054,
South Carolina,2016-10-30,2016-10-31,Starboard Communications,,600.0,lv,36.0,47.0,3.0,,37.15811,47.01984,2.431163,
U.S.,2016-10-20,2016-10-21,Public Policy Polling,B+,990.0,lv,46.0,40.0,5.0,,45.45713,41.71628,4.749727,
Maine,2016-11-01,2016-11-07,SurveyMonkey,C-,779.0,lv,46.0,38.0,10.0,,44.61831,37.339690000000004,7.69243,
