sex,height
Male,68.0
Female,77.0
Male,70.5
Female,63.0
Male,69.0
Male,69.0
Male,68.89
Male,66.5
Female,64.173
Female,63.0
Female,65.0
Female,64.0
Female,63.0
Female,63.0
Female,69.0
Male,69.0
Female,64.0
Female,62.0
Male,70.0
Male,70.0
Female,59.0
Female,65.0
Male,67.7
Male,72.0
Male,74.0
Male,71.7
Male,70.87
Female,66.0
Male,72.0
Male,74.0
Male,69.0
Male,71.0
Female,70.0
Male,70.0
Male,64.0
Male,68.11
Female,68.0
Female,66.0
Female,64.0
Male,67.0
Female,65.0
Male,72.0
Male,70.0
Female,64.57
Female,51.0
Female,63.0
Female,70.0
Male,68.0
Female,67.0
Male,71.0
Male,69.0
Female,63.0
Male,71.0
Male,70.0
Female,64.0
Male,70.0
Male,68.0
Male,66.0
Female,69.0
Male,67.0
Female,65.0
Male,72.0
Male,72.0
Male,70.0
Male,75.0
Female,64.0
Female,66.0
Male,68.0
Female,69.0
Male,73.0
Male,66.0
Male,71.0
Male,67.0
Male,70.0
Male,67.0
Female,61.0
Female,64.0
Female,64.0
Male,65.0
Male,72.0
Male,70.0
Male,65.0
Male,69.0
Male,68.0
Male,67.0
Male,59.0
Male,59.0
Female,72.0
Male,77.0
Male,72.0
Female,59.05511811023621
Male,70.0
Male,69.0
Male,72.0
Male,69.0
Male,68.11
Male,68.11
Male,68.0
Male,65.0
Female,67.0
Male,67.0
Male,68.0
Male,69.0
Male,80.0
Male,68.0
Male,68.0
Female,60.0
Male,70.0
Female,60.0
Female,60.0
Female,64.96
Female,66.0
Male,68.8976377952756
Male,69.68503937007871
Female,68.0
Male,70.0
Male,66.0
Male,66.0
Male,63.0
Male,72.0
Male,68.0
Male,72.0
Male,72.05
Male,71.0
Male,72.5
Male,70.0
Male,72.0
Male,72.0
Male,68.0
Male,70.0
Male,69.0
Male,80.0
Male,68.0
Male,66.0
Male,70.0
Male,65.0
Male,70.0787401574803
Male,75.0
Male,66.0
Male,69.0
Female,53.0
Male,71.0
Male,70.0
Male,72.0
Male,68.5
Female,68.0
Female,64.1732283464567
Female,68.0
Male,59.0551
Male,66.92
Male,72.0
Male,72.0
Male,74.0
Male,68.8976377952756
Female,68.0
Male,70.0
Male,69.0
Female,61.0
Male,74.0
Male,65.0
Male,72.0
Female,66.0
Male,68.0
Male,61.0
Male,70.0
Female,65.0
Male,68.0
Male,70.0787401574803
Male,70.0
Male,71.0
Male,74.0
Female,64.9606299212598
Male,71.0
Male,74.0
Male,64.0
Male,71.0
Female,66.0
Male,65.0
Female,64.9606299212598
Male,74.0
Male,75.0
Male,70.8661417322835
Male,68.0
Female,62.0
Male,74.8
Male,69.0
Male,68.4
Male,67.0
Male,65.0
Male,68.0
Female,67.0
Male,69.3
Male,66.5354330708661
Male,67.0
Male,67.0
Male,73.0
Male,75.0
Male,70.0
Male,71.0
Female,64.0
Male,72.0
Male,70.0
Male,72.0
Male,71.5
Male,72.0
Male,68.8976
Male,68.0
Male,64.0
Male,69.0
Male,70.0
Female,75.0
Male,67.0
Male,61.8110236220472
Male,73.0
Male,66.5354330708661
Female,63.0
Male,66.0
Male,72.0472440944882
Male,67.72
Female,65.0
Male,69.0
Male,71.0
Male,66.0
Male,72.0
Male,72.4
Male,69.0
Male,72.0
Male,79.05
Male,63.7795275590551
Male,70.0787401574803
Male,70.8661417322835
Male,66.4
Male,72.0
Male,70.0
Male,66.0
Male,69.29
Male,66.9291338582677
Female,63.0
Female,66.1416
Male,78.0
Male,75.0
Male,70.0787401574803
Male,70.0
Male,66.0
Female,65.0
Male,71.0
Male,68.5
Male,65.0
Male,69.0
Male,74.8031496062992
Male,70.0
Male,66.0
Male,66.0
Female,63.0
Male,71.0
Male,64.0
Male,70.0
Male,72.0
Male,72.4409448818898
Male,67.0
Male,68.5
Female,68.0
Male,69.0
Male,70.0
Male,68.5
Male,53.77
Male,66.92
Male,73.0
Male,68.0
Male,72.0
Male,70.0
Male,66.0
Male,71.5
Female,66.0
Male,72.4409448818898
Male,72.0
Male,67.0
Male,72.0
Male,65.748031496063
Male,72.0
Male,74.0
Male,72.0
Male,72.0
Male,67.7165
Male,71.0
Male,65.0
Male,72.0
Male,68.0
Male,71.0
Male,69.0
Female,63.0
Male,71.0
Male,65.0
Female,62.0
Male,67.0
Male,70.8661417322835
Male,54.0
Male,65.0
Male,65.0
Male,77.0
Male,67.0
Male,68.1102
Male,69.0
Male,68.0
Female,62.0
Male,72.0
Male,70.0
Male,71.0
Male,64.961
Female,64.0
Male,67.0
Male,70.8661417322835
Male,66.0
Male,72.0472440944882
Male,66.9291338582677
Male,66.0
Male,66.0
Male,70.0
Male,66.0
Female,64.0
Male,72.0
Male,70.0
Male,67.7165354330709
Male,75.0
Male,72.0
Male,72.0
Male,68.5
Female,66.0
Male,71.0
Male,71.0
Male,66.1417322834646
Male,72.0
Female,64.0
Female,70.0
Male,67.0
Male,70.0
Male,70.0
Male,72.0
Male,63.0
Male,65.0
Male,63.0
Male,66.9291338582677
Male,70.0
Male,70.8
Male,67.7165354330709
Male,68.0
Female,66.0
Male,77.1654
Male,65.0
Male,69.2913385826772
Male,67.5
Male,67.5
Male,68.0
Male,66.0
Male,74.0
Male,72.0
Male,72.83
Male,77.0
Male,67.0
Male,70.0
Male,64.0
Male,65.0
Male,73.0
Female,62.0
Male,66.7
Female,69.0
Male,67.0
Male,68.1102362204724
Male,69.0
Male,68.503937007874
Male,69.2913385826772
Male,68.8976377952756
Male,71.0
Male,64.0
Male,67.0
Male,70.0
Male,68.0
Female,67.78
Male,68.5
Male,68.0
Female,67.71
Male,66.5
Male,69.0
Male,79.0
Female,64.0
Male,60.0
Male,72.0
Female,61.0
Male,74.0
Female,66.0
Female,65.0
Male,67.0
Male,68.8
Male,69.0
Male,78.0
Male,70.0
Male,66.0
Male,66.0
Male,74.0
Male,71.0
Male,73.0
Male,67.0
Male,72.0
Male,70.0
Male,70.1
Male,62.0
Male,69.0
Female,65.0
Female,68.0
Male,72.0
Male,72.0
Male,72.0
Female,63.0
Male,66.0
Male,67.0
Male,73.2
Female,64.0
Male,74.0
Male,73.62
Male,72.0
Female,68.4
Male,69.0
Female,61.0
Male,67.0
Male,69.0
Male,66.0
Male,68.0
Male,65.0
Male,68.9
Male,67.71
Male,67.0
Male,67.0
Female,59.0
Female,59.0
Female,67.0
Male,72.0472440944882
Male,71.0
Male,67.7165354330709
Male,68.0
Male,66.9
Male,68.5
Male,74.0
Male,76.0
Male,60.0
Male,69.0
Male,72.0
Male,69.0
Male,67.0
Male,70.0
Male,68.5
Male,70.0
Male,67.0
Male,70.0
Male,69.0
Female,65.0
Male,68.9
Male,69.0
Male,66.1417322834646
Female,66.9291
Male,70.0
Male,77.0
Male,70.85
Male,66.9291338582677
Male,68.8976377952756
Female,64.0
Male,69.0
Male,67.0
Male,72.0
Male,72.0
Male,67.0
Male,72.0
Male,72.0
Male,72.83
Male,70.0
Female,63.0
Male,71.0
Male,72.0
Male,72.0
Male,72.44
Male,70.0
Male,68.0
Female,59.0
Male,71.0
Male,61.32
Male,72.0
Male,68.0
Male,73.0
Male,71.0
Male,69.0
Male,71.0
Male,66.93
Male,58.0
Female,55.0
Male,70.0
Male,66.0
Male,65.0
Male,72.0
Female,74.0
Male,71.0
Male,69.0
Male,63.7795275590551
Male,71.0
Male,72.0
Male,68.0
Male,69.0
Male,70.0
Male,73.0
Male,64.9606299212598
Male,72.4409448818898
Male,73.22
Female,64.0
Male,70.0
Male,75.0
Male,63.0
Male,72.05
Male,72.0
Male,68.0
Male,75.0
Male,68.0
Male,68.1102362204724
Male,70.0
Female,66.1417
Male,74.0
Male,62.992125984252006
Male,68.0
Male,68.0
Male,70.0
Male,71.0
Male,67.7165354330709
Male,66.9291338582677
Male,70.0
Male,70.08
Male,67.2
Male,69.0
Male,70.0
Male,69.0
Male,72.44
Male,69.0
Male,72.45
Male,69.0
Male,67.0
Male,75.98
Male,71.0
Male,67.0
Male,71.0
Male,67.0
Male,65.0
Male,62.0
Male,71.0
Male,74.0
Male,69.0
Male,72.0
Male,68.503937007874
Male,66.9291338582677
Male,68.0
Male,66.9291
Male,63.0
Female,62.992125984252006
Male,70.0
Male,75.59055118110241
Male,68.0
Male,69.0
Male,71.0
Male,71.0
Male,69.3
Male,65.748031496063
Male,70.866
Male,67.0
Male,67.72
Male,70.0
Male,67.0
Male,65.0
Male,67.0
Female,62.4
Male,71.0
Male,59.05511811023621
Male,72.0
Male,68.0
Male,75.0
Male,72.0
Male,66.0
Male,71.0
Male,76.0
Male,69.0
Male,69.0
Male,66.9291338582677
Male,66.0
Male,68.503937007874
Male,69.29
Male,72.0
Male,68.0
Female,64.0
Male,66.0
Male,70.0
Male,67.0
Male,75.6
Male,71.5
Male,72.0
Female,63.0
Female,62.0
Male,69.0
Female,68.0
Male,71.65
Male,75.0
Male,68.8976
Male,74.0
Female,65.0
Female,64.0
Female,68.0
Female,65.0
Female,64.0
Female,67.0
Male,69.0
Male,68.0
Female,67.0
Female,68.8976
Female,62.6
Male,70.0
Female,69.0
Female,65.0
Female,63.0
Male,67.3
Female,64.2
Female,63.0
Male,61.0
Male,67.0
Male,71.0
Female,61.0
Female,61.0
Female,68.11
Female,66.14
Female,67.5
Female,60.0
Female,67.0
Female,67.72
Female,66.0
Male,67.0
Female,70.0
Female,66.0
Female,64.5
Female,68.0
Male,69.0
Male,68.0
Male,71.0
Male,76.0
Male,70.8661
Male,66.0
Female,67.0
Male,71.0
Female,62.5
Male,67.0
Male,67.0
Male,67.7165354330709
Female,60.0
Male,67.0
Female,68.0
Male,75.0
Male,65.0
Male,65.0
Female,64.0
Female,62.0
Male,70.8661417322835
Male,75.0
Male,71.0
Female,67.0
Male,72.0
Female,60.0
Male,68.0
Female,64.0
Male,70.8661417322835
Male,70.8661417322835
Male,73.0
Male,75.4
Female,68.0
Male,70.0
Male,69.0
Female,63.0
Female,62.0
Male,73.0
Male,72.0
Female,68.0
Female,61.0
Female,60.0
Male,65.0
Female,63.0
Male,67.0
Female,69.0
Male,74.0
Female,68.0
Male,70.0
Male,73.0
Male,70.0
Female,60.0
Female,66.0
Female,68.0
Male,67.0
Male,65.0
Male,71.0
Female,70.0
Male,65.0
Male,72.8346
Male,70.0
Male,70.0
Female,65.0
Male,70.0
Male,70.0
Female,67.7
Female,62.0
Male,69.0
Male,69.0
Female,62.0
Male,74.0
Male,71.0
Female,70.0
Male,64.0
Male,73.0
Male,70.0
Male,66.0
Male,66.0
Male,68.0
Female,62.0
Female,66.0
Female,64.0
Male,67.0
Male,71.0
Male,78.0
Male,69.0
Female,67.0
Male,70.0
Female,65.0
Male,70.0
Male,65.748031496063
Male,71.0
Male,68.0
Female,67.0
Male,66.1417322834646
Female,64.0
Male,68.0
Female,60.0
Female,64.0
Male,73.2
Male,72.0
Male,73.0
Male,71.0
Male,72.44
Female,67.0
Male,71.0
Male,71.0
Male,68.89
Male,68.89
Male,70.0787401574803
Male,71.6535433070866
Female,69.0
Female,64.5669291338583
Female,66.0
Male,68.0
Male,70.0
Male,70.0
Male,68.0
Male,70.1
Female,72.83464566929129
Male,72.0
Male,72.0
Male,66.0
Male,66.0
Male,69.0
Male,66.0
Male,78.74
Male,67.0
Male,70.0
Male,67.0
Male,66.0
Male,70.0
Male,72.8346
Male,67.7
Male,72.0
Female,69.0
Male,65.0
Male,66.0
Male,70.0
Male,67.7165354330709
Male,67.0
Male,72.0
Female,68.0
Female,69.0
Male,64.9
Male,62.992125984252006
Male,75.0
Male,69.0
Female,64.96
Male,64.5
Male,64.0
Male,65.0
Male,70.0
Male,61.0
Male,67.0
Male,59.8425196850394
Male,67.5
Male,70.8661417322835
Male,70.86
Male,68.8976377952756
Male,70.0
Male,62.204724409448794
Male,68.1102362204724
Male,64.5669291338583
Male,76.0
Male,66.5354330708661
Male,70.0
Male,72.83464566929129
Male,66.1417322834646
Male,69.0
Male,66.5354330708661
Male,65.0
Male,68.0
Male,68.503937007874
Male,68.0
Male,68.11024
Male,75.0
Male,69.0
Male,70.47244094488191
Male,66.0
Male,69.0
Male,67.0
Male,68.89
Male,73.22
Male,66.0
Male,65.0
Male,72.0
Male,75.0
Male,72.0
Male,66.9291338582677
Female,52.0
Female,52.0
Female,79.0
Male,70.0
Male,72.0
Male,67.7165354330709
Female,64.0
Male,68.11
Male,67.0
Male,62.204724409448794
Male,75.0
Male,75.0
Male,81.0
Male,69.0
Male,68.8976378
Male,62.59842519685039
Male,76.0
Female,74.8031496062992
Male,69.6
Male,67.0
Female,63.0
Male,70.0
Male,72.44
Female,66.0
Male,66.9291338582677
Male,62.204724409448794
Male,73.0
Male,72.0
Female,60.0
Male,76.0
Male,65.0
Male,66.0
Male,70.8661417322835
Male,68.9
Male,71.0
Female,64.0
Male,82.6771653543307
Male,72.0
Male,68.0
Male,67.0
Male,69.0
Female,64.2
Male,72.0
Male,63.0
Female,63.7795275590551
Male,66.0
Male,66.9291338582677
Male,74.0
Male,72.0
Male,67.0
Male,71.0
Male,50.0
Male,66.9291338582677
Male,61.8110236220472
Male,73.2283464566929
Male,65.0
Male,66.9291338582677
Male,63.0
Male,74.0
Male,67.7165
Male,60.0
Male,60.0
Male,69.0
Male,69.0
Male,50.0
Female,69.0
Male,69.0
Male,63.3858267716535
Male,66.0
Male,66.0
