disease,state,year,weeks_reporting,count,population
Hepatitis A,Colorado,1966,48,292,2008407.0
Hepatitis A,Colorado,1967,43,294,2053164.0
Hepatitis A,Colorado,1968,43,715,2100603.0
Hepatitis A,Colorado,1969,43,587,2151635.0
Hepatitis A,Colorado,1970,41,915,2207259.0
Hepatitis A,Colorado,1971,47,751,2268242.0
Hepatitis A,Colorado,1972,44,639,2334054.0
Hepatitis A,Colorado,1973,48,495,2403738.0
Hepatitis A,Colorado,1974,38,256,2476210.0
Hepatitis A,Colorado,1975,46,239,2550245.0
Hepatitis A,Colorado,1976,51,426,2624457.0
Hepatitis A,Colorado,1977,51,509,2697303.0
Hepatitis A,Colorado,1978,49,446,2767084.0
Hepatitis A,Colorado,1979,51,482,2831958.0
Hepatitis A,Colorado,1980,38,591,2889964.0
Hepatitis A,Colorado,1981,48,536,2939663.0
Hepatitis A,Colorado,1982,49,331,2982055.0
Hepatitis A,Colorado,1983,50,394,3018900.0
Hepatitis A,Colorado,1984,48,544,3052100.0
Hepatitis A,Colorado,1985,43,299,3083671.0
Hepatitis A,Colorado,1986,36,151,3115721.0
Hepatitis A,Colorado,1987,50,424,3150449.0
Hepatitis A,Colorado,1988,23,117,3190156.0
Hepatitis A,Colorado,1989,34,368,3237270.0
Hepatitis A,Colorado,1990,39,278,3294394.0
Hepatitis A,Colorado,1991,37,494,3363642.0
Hepatitis A,Colorado,1992,36,587,3444391.0
Hepatitis A,Colorado,1993,26,436,3535251.0
Hepatitis A,Colorado,1994,29,403,3634710.0
Hepatitis A,Colorado,1995,41,393,3741086.0
Hepatitis A,Colorado,1996,42,362,3852482.0
Hepatitis A,Colorado,1997,27,234,3966754.0
Hepatitis A,Colorado,1998,35,261,4081485.0
Hepatitis A,Colorado,1999,38,147,4193978.0
Hepatitis A,Colorado,2000,41,170,4301261.0
Hepatitis A,Colorado,2001,41,76,4400742.0
Hepatitis A,Colorado,2002,47,77,4492257.0
Hepatitis A,Colorado,2003,45,60,4576377.0
Hepatitis A,Colorado,2004,43,56,4653801.0
Hepatitis A,Colorado,2005,49,49,4725338.0
Hepatitis A,Colorado,2006,49,24,4791892.0
Hepatitis A,Colorado,2007,48,25,4854455.0
Hepatitis A,Colorado,2008,44,23,4914094.0
Hepatitis A,Colorado,2009,50,49,4971943.0
Hepatitis A,Colorado,2010,50,34,5029196.0
Hepatitis A,Colorado,2011,51,18,5086894.0
Hepatitis A,Connecticut,1966,52,334,2874698.0
Hepatitis A,Connecticut,1967,52,583,2922078.0
Hepatitis A,Connecticut,1968,52,502,2964628.0
Hepatitis A,Connecticut,1969,50,617,3001466.0
Hepatitis A,Connecticut,1970,51,860,3031709.0
Hepatitis A,Connecticut,1971,51,877,3054792.0
Hepatitis A,Connecticut,1972,47,687,3071418.0
Hepatitis A,Connecticut,1973,51,661,3082659.0
Hepatitis A,Connecticut,1974,49,526,3089639.0
Hepatitis A,Connecticut,1975,51,417,3093513.0
Hepatitis A,Connecticut,1976,50,427,3095453.0
Hepatitis A,Connecticut,1977,49,274,3096643.0
Hepatitis A,Connecticut,1978,45,165,3098267.0
Hepatitis A,Connecticut,1979,45,167,3101513.0
Hepatitis A,Connecticut,1980,31,110,3107576.0
Hepatitis A,Connecticut,1981,42,129,3117363.0
Hepatitis A,Connecticut,1982,36,82,3130581.0
Hepatitis A,Connecticut,1983,40,88,3146641.0
Hepatitis A,Connecticut,1984,36,74,3164947.0
Hepatitis A,Connecticut,1985,29,118,3184895.0
Hepatitis A,Connecticut,1986,35,124,3205868.0
Hepatitis A,Connecticut,1987,39,172,3227234.0
Hepatitis A,Connecticut,1988,21,141,3248344.0
Hepatitis A,Connecticut,1989,32,207,3268532.0
Hepatitis A,Connecticut,1990,40,107,3287116.0
Hepatitis A,Connecticut,1991,34,74,3303573.0
Hepatitis A,Connecticut,1992,32,49,3318064.0
Hepatitis A,Connecticut,1993,27,59,3330930.0
Hepatitis A,Connecticut,1994,25,60,3342519.0
Hepatitis A,Connecticut,1995,39,69,3353188.0
Hepatitis A,Connecticut,1996,44,123,3363299.0
Hepatitis A,Connecticut,1997,26,71,3373219.0
Hepatitis A,Connecticut,1998,34,63,3383318.0
Hepatitis A,Connecticut,1999,37,57,3393974.0
Hepatitis A,Connecticut,2000,39,135,3405565.0
Hepatitis A,Connecticut,2001,40,206,3418395.0
Hepatitis A,Connecticut,2002,47,87,3432433.0
Hepatitis A,Connecticut,2003,42,81,3447563.0
Hepatitis A,Connecticut,2004,45,68,3463671.0
Hepatitis A,Connecticut,2005,51,49,3480637.0
Hepatitis A,Connecticut,2006,51,42,3498344.0
Hepatitis A,Connecticut,2007,46,25,3516668.0
Hepatitis A,Connecticut,2008,51,24,3535486.0
Hepatitis A,Connecticut,2009,48,18,3554673.0
Hepatitis A,Connecticut,2010,50,24,3574097.0
Hepatitis A,Connecticut,2011,47,16,3593650.0
Hepatitis A,Delaware,1966,36,79,516402.0
Hepatitis A,Delaware,1967,44,173,525460.0
Hepatitis A,Delaware,1968,43,146,533755.0
Hepatitis A,Delaware,1969,30,67,541297.0
Hepatitis A,Delaware,1970,43,135,548104.0
Hepatitis A,Delaware,1971,46,138,554209.0
Hepatitis A,Delaware,1972,39,131,559693.0
Hepatitis A,Delaware,1973,39,97,564659.0
Hepatitis A,Delaware,1974,22,32,569211.0
Hepatitis A,Delaware,1975,23,50,573460.0
Hepatitis A,Delaware,1976,26,47,577523.0
Hepatitis A,Delaware,1977,25,43,581518.0
Hepatitis A,Delaware,1978,21,40,585568.0
Hepatitis A,Delaware,1979,15,27,589798.0
Hepatitis A,Delaware,1980,17,34,594338.0
Hepatitis A,Delaware,1981,34,56,599301.0
Hepatitis A,Delaware,1982,31,46,604720.0
Hepatitis A,Delaware,1983,28,32,610606.0
Hepatitis A,Delaware,1984,23,44,616972.0
Hepatitis A,Delaware,1985,23,38,623834.0
Hepatitis A,Delaware,1986,33,62,631207.0
Hepatitis A,Delaware,1987,17,38,639107.0
Hepatitis A,Delaware,1988,21,26,647554.0
Hepatitis A,Delaware,1989,34,60,656568.0
Hepatitis A,Delaware,1990,42,89,666168.0
Hepatitis A,Delaware,1991,37,12,676364.0
Hepatitis A,Delaware,1992,31,35,687107.0
Hepatitis A,Delaware,1993,27,6,698329.0
Hepatitis A,Delaware,1994,27,12,709960.0
Hepatitis A,Delaware,1995,39,8,721921.0
Hepatitis A,Delaware,1996,43,17,734132.0
Hepatitis A,Delaware,1997,25,13,746502.0
Hepatitis A,Delaware,1998,25,4,758939.0
Hepatitis A,Delaware,1999,30,1,771341.0
Hepatitis A,Delaware,2000,0,0,783600.0
Hepatitis A,Delaware,2001,1,0,795628.0
Hepatitis A,Delaware,2002,41,11,807429.0
Hepatitis A,Delaware,2003,42,7,819034.0
Hepatitis A,Delaware,2004,42,7,830477.0
Hepatitis A,Delaware,2005,31,4,841794.0
Hepatitis A,Delaware,2006,48,11,853024.0
Hepatitis A,Delaware,2007,34,6,864207.0
Hepatitis A,Delaware,2008,39,6,875389.0
Hepatitis A,Delaware,2009,37,3,886615.0
Hepatitis A,Delaware,2010,47,7,897934.0
Hepatitis A,Delaware,2011,49,1,909389.0
Hepatitis A,District Of Columbia,1966,25,38,767479.0
Hepatitis A,District Of Columbia,1967,29,42,767400.0
Hepatitis A,District Of Columbia,1968,36,67,765853.0
Hepatitis A,District Of Columbia,1969,28,58,762372.0
Hepatitis A,District Of Columbia,1970,37,87,756510.0
Hepatitis A,District Of Columbia,1971,31,60,748020.0
Hepatitis A,District Of Columbia,1972,38,95,737335.0
Hepatitis A,District Of Columbia,1973,32,67,725053.0
Hepatitis A,District Of Columbia,1974,21,42,711746.0
Hepatitis A,District Of Columbia,1975,35,90,697960.0
Hepatitis A,District Of Columbia,1976,30,101,684201.0
Hepatitis A,District Of Columbia,1977,18,34,670939.0
Hepatitis A,District Of Columbia,1978,18,30,658610.0
Hepatitis A,District Of Columbia,1979,21,33,647615.0
Hepatitis A,District Of Columbia,1980,17,36,638333.0
Hepatitis A,District Of Columbia,1981,22,31,631010.0
Hepatitis A,District Of Columbia,1982,17,23,625419.0
Hepatitis A,District Of Columbia,1983,10,12,621237.0
Hepatitis A,District Of Columbia,1984,8,11,618158.0
Hepatitis A,District Of Columbia,1985,8,10,615889.0
Hepatitis A,District Of Columbia,1986,11,14,614147.0
Hepatitis A,District Of Columbia,1987,26,38,612651.0
Hepatitis A,District Of Columbia,1988,21,9,611127.0
Hepatitis A,District Of Columbia,1989,24,9,609299.0
Hepatitis A,District Of Columbia,1990,42,10,606900.0
Hepatitis A,District Of Columbia,1991,37,64,603744.0
Hepatitis A,District Of Columbia,1992,35,12,599967.0
Hepatitis A,District Of Columbia,1993,26,8,595785.0
Hepatitis A,District Of Columbia,1994,29,23,591406.0
Hepatitis A,District Of Columbia,1995,38,14,587034.0
Hepatitis A,District Of Columbia,1996,41,30,582869.0
Hepatitis A,District Of Columbia,1997,26,16,579101.0
Hepatitis A,District Of Columbia,1998,34,46,575921.0
Hepatitis A,District Of Columbia,1999,38,49,573512.0
Hepatitis A,District Of Columbia,2000,31,32,572059.0
Hepatitis A,District Of Columbia,2001,42,52,571698.0
Hepatitis A,District Of Columbia,2002,48,73,572365.0
Hepatitis A,District Of Columbia,2003,38,39,573947.0
Hepatitis A,District Of Columbia,2004,44,5,576339.0
Hepatitis A,District Of Columbia,2005,40,5,579433.0
Hepatitis A,District Of Columbia,2006,50,8,583125.0
Hepatitis A,District Of Columbia,2007,48,14,587310.0
Hepatitis A,District Of Columbia,2008,0,0,591879.0
Hepatitis A,District Of Columbia,2009,0,0,596721.0
Hepatitis A,District Of Columbia,2010,31,0,601723.0
Hepatitis A,District Of Columbia,2011,0,0,606787.0
Hepatitis A,Florida,1966,51,649,6076182.0
Hepatitis A,Florida,1967,52,646,6241386.0
Hepatitis A,Florida,1968,51,1116,6411565.0
Hepatitis A,Florida,1969,49,1356,6592214.0
Hepatitis A,Florida,1970,50,1804,6789443.0
Hepatitis A,Florida,1971,50,2121,7008662.0
Hepatitis A,Florida,1972,46,2193,7250063.0
Hepatitis A,Florida,1973,49,3296,7512296.0
Hepatitis A,Florida,1974,49,3439,7793754.0
Hepatitis A,Florida,1975,50,2279,8092494.0
Hepatitis A,Florida,1976,50,1712,8406176.0
Hepatitis A,Florida,1977,51,1412,8732000.0
Hepatitis A,Florida,1978,49,1574,9066647.0
Hepatitis A,Florida,1979,50,1268,9406243.0
Hepatitis A,Florida,1980,37,1344,9746324.0
Hepatitis A,Florida,1981,48,1229,10082727.0
Hepatitis A,Florida,1982,49,967,10414526.0
Hepatitis A,Florida,1983,50,902,10741769.0
Hepatitis A,Florida,1984,48,678,11064644.0
Hepatitis A,Florida,1985,43,775,11383474.0
Hepatitis A,Florida,1986,39,881,11698722.0
Hepatitis A,Florida,1987,50,550,12010988.0
Hepatitis A,Florida,1988,22,280,12321008.0
Hepatitis A,Florida,1989,33,725,12629652.0
Hepatitis A,Florida,1990,42,476,12937926.0
Hepatitis A,Florida,1991,37,587,13246692.0
Hepatitis A,Florida,1992,35,372,13555784.0
Hepatitis A,Florida,1993,26,331,13864752.0
Hepatitis A,Florida,1994,28,516,14173127.0
Hepatitis A,Florida,1995,40,519,14480420.0
Hepatitis A,Florida,1996,44,552,14786125.0
Hepatitis A,Florida,1997,26,417,15089720.0
Hepatitis A,Florida,1998,34,358,15390666.0
Hepatitis A,Florida,1999,38,578,15688408.0
Hepatitis A,Florida,2000,39,631,15982378.0
Hepatitis A,Florida,2001,39,762,16272186.0
Hepatitis A,Florida,2002,46,1002,16558219.0
Hepatitis A,Florida,2003,46,374,16841116.0
Hepatitis A,Florida,2004,49,282,17121583.0
Hepatitis A,Florida,2005,51,288,17400396.0
Hepatitis A,Florida,2006,52,217,17678393.0
Hepatitis A,Florida,2007,52,159,17956480.0
Hepatitis A,Florida,2008,51,153,18235627.0
Hepatitis A,Florida,2009,52,176,18516869.0
Hepatitis A,Florida,2010,51,152,18801310.0
Hepatitis A,Florida,2011,51,96,19089928.0
Hepatitis A,Georgia,1966,47,509,4306523.0
Hepatitis A,Georgia,1967,51,922,4373252.0
Hepatitis A,Georgia,1968,50,990,4442463.0
Hepatitis A,Georgia,1969,48,750,4514462.0
Hepatitis A,Georgia,1970,51,763,4589575.0
Hepatitis A,Georgia,1971,50,771,4668031.0
Hepatitis A,Georgia,1972,47,712,4749598.0
Hepatitis A,Georgia,1973,50,888,4833908.0
Hepatitis A,Georgia,1974,48,1005,4920562.0
Hepatitis A,Georgia,1975,48,1048,5009127.0
Hepatitis A,Georgia,1976,51,1368,5099141.0
Hepatitis A,Georgia,1977,47,1073,5190101.0
Hepatitis A,Georgia,1978,43,528,5281471.0
Hepatitis A,Georgia,1979,42,589,5372677.0
Hepatitis A,Georgia,1980,38,597,5463105.0
Hepatitis A,Georgia,1981,48,498,5552381.0
Hepatitis A,Georgia,1982,46,342,5641222.0
Hepatitis A,Georgia,1983,46,231,5730681.0
Hepatitis A,Georgia,1984,44,170,5821879.0
Hepatitis A,Georgia,1985,40,176,5916008.0
Hepatitis A,Georgia,1986,38,144,6014339.0
Hepatitis A,Georgia,1987,44,161,6118223.0
Hepatitis A,Georgia,1988,22,281,6229107.0
Hepatitis A,Georgia,1989,33,283,6348546.0
Hepatitis A,Georgia,1990,41,298,6478216.0
Hepatitis A,Georgia,1991,36,171,6619421.0
Hepatitis A,Georgia,1992,34,136,6771458.0
Hepatitis A,Georgia,1993,27,37,6933012.0
Hepatitis A,Georgia,1994,29,48,7102632.0
Hepatitis A,Georgia,1995,34,56,7278710.0
Hepatitis A,Georgia,1996,33,148,7459456.0
Hepatitis A,Georgia,1997,25,403,7642891.0
Hepatitis A,Georgia,1998,35,546,7826830.0
Hepatitis A,Georgia,1999,37,346,8008882.0
Hepatitis A,Georgia,2000,36,208,8186453.0
Hepatitis A,Georgia,2001,36,723,8357323.0
Hepatitis A,Georgia,2002,49,434,8521472.0
Hepatitis A,Georgia,2003,47,800,8679534.0
Hepatitis A,Georgia,2004,47,314,8832236.0
Hepatitis A,Georgia,2005,46,108,8980398.0
Hepatitis A,Georgia,2006,49,56,9124929.0
Hepatitis A,Georgia,2007,49,48,9266815.0
Hepatitis A,Georgia,2008,50,38,9407124.0
Hepatitis A,Georgia,2009,52,43,9546998.0
Hepatitis A,Georgia,2010,50,32,9687653.0
Hepatitis A,Georgia,2011,52,40,9830160.0
Hepatitis A,Hawaii,1966,27,56,707223.0
Hepatitis A,Hawaii,1967,22,45,721381.0
Hepatitis A,Hawaii,1968,33,122,736258.0
Hepatitis A,Hawaii,1969,40,115,751950.0
Hepatitis A,Hawaii,1970,44,237,768561.0
Hepatitis A,Hawaii,1971,46,336,786163.0
Hepatitis A,Hawaii,1972,46,316,804667.0
Hepatitis A,Hawaii,1973,46,196,823931.0
Hepatitis A,Hawaii,1974,42,130,843799.0
Hepatitis A,Hawaii,1975,39,240,864098.0
Hepatitis A,Hawaii,1976,41,126,884635.0
Hepatitis A,Hawaii,1977,39,137,905202.0
Hepatitis A,Hawaii,1978,43,153,925568.0
Hepatitis A,Hawaii,1979,44,135,945486.0
Hepatitis A,Hawaii,1980,25,69,964691.0
Hepatitis A,Hawaii,1981,32,111,982951.0
Hepatitis A,Hawaii,1982,32,76,1000236.0
Hepatitis A,Hawaii,1983,22,48,1016571.0
Hepatitis A,Hawaii,1984,18,32,1031992.0
Hepatitis A,Hawaii,1985,22,43,1046542.0
Hepatitis A,Hawaii,1986,11,15,1060271.0
Hepatitis A,Hawaii,1987,16,37,1073239.0
Hepatitis A,Hawaii,1988,16,2,1085507.0
Hepatitis A,Hawaii,1989,31,72,1097145.0
Hepatitis A,Hawaii,1990,41,51,1108229.0
Hepatitis A,Hawaii,1991,38,58,1118841.0
Hepatitis A,Hawaii,1992,36,136,1129082.0
Hepatitis A,Hawaii,1993,25,27,1139060.0
Hepatitis A,Hawaii,1994,28,41,1148887.0
Hepatitis A,Hawaii,1995,41,120,1158681.0
Hepatitis A,Hawaii,1996,42,84,1168563.0
